INSERT INTO Client (email,username,name,gender,sexual_orientation, bio, description, likes, state, age, birthday) VALUES ('karaAcevedo@gmail.com', 'Kara Acevedo', 'karaAcevedo', 'F', 'W', 'This is the bio', 'This is the description', 'Running, Reading, Hiking, Watching series, Acrobatics', 'Reported', 'karaAcevedoprofilePic', 30, '1963-3-19'),
('bufordCamp@gmail.com', 'Buford Camp', 'bufordCamp', 'M', 'M', 'This is the bio', 'This is the description', 'Photography, Yoga, Dancing, Listening to music, Baseball', 'Pending', 'bufordCampprofilePic', 37, '1955-9-24'),
('williamPetersen@gmail.com', 'William Petersen', 'williamPetersen', 'M', 'W', 'This is the bio', 'This is the description', 'Reading, Watching movies, Listening to podcasts, Paintball, Running', 'Accepted', 'williamPetersenprofilePic', 35, '1962-4-12'),
('louanneGray@gmail.com', 'Louanne Gray', 'louanneGray', 'F', 'B', 'This is the bio', 'This is the description', 'Hiking, Dancing, Parkour, Photography, Fishing', 'Reported', 'louanneGrayprofilePic', 25, '1963-4-18'),
('cliffDean@gmail.com', 'Cliff Dean', 'cliffDean', 'M', 'B', 'This is the bio', 'This is the description', 'Parkour, Photography, Baseball, Running, Chess', 'Pending', 'cliffDeanprofilePic', 31, '1998-1-16'),
('diegoArnold@gmail.com', 'Diego Arnold', 'diegoArnold', 'Other', 'B', 'This is the bio', 'This is the description', 'Cycling, Reading, Journaling, Dancing, Bowling', 'Reported', 'diegoArnoldprofilePic', 21, '1979-12-1'),
('pollyKirk@gmail.com', 'Polly Kirk', 'pollyKirk', 'Other', 'W', 'This is the bio', 'This is the description', 'Running, Baseball, Listening to podcasts, Chess, Parkour', 'Accepted', 'pollyKirkprofilePic', 23, '1962-12-23'),
('antioneBenton@gmail.com', 'Antione Benton', 'antioneBenton', 'M', 'W', 'This is the bio', 'This is the description', 'Yoga, Car fixing, Watching movies, Knitting, Chess', 'Reported', 'antioneBentonprofilePic', 26, '1973-3-7'),
('stevePhelps@gmail.com', 'Steve Phelps', 'stevePhelps', 'M', 'B', 'This is the bio', 'This is the description', 'Watching movies, Cycling, Photography, Yoga, Listening to podcasts', 'Pending', 'stevePhelpsprofilePic', 31, '1986-11-28'),
('zenaBenjamin@gmail.com', 'Zena Benjamin', 'zenaBenjamin', 'F', 'W', 'This is the bio', 'This is the description', 'Blogging, Journaling, Bowling, Car fixing, Reading', 'Accepted', 'zenaBenjaminprofilePic', 39, '1965-7-2'),
('sungSaunders@gmail.com', 'Sung Saunders', 'sungSaunders', 'F', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Listening to music, Car fixing, Paintball, Bowling', 'Reported', 'sungSaundersprofilePic', 25, '1991-10-10'),
('irenaMcknight@gmail.com', 'Irena Mcknight', 'irenaMcknight', 'Other', 'W', 'This is the bio', 'This is the description', 'Watching series, Bowling, Dancing, Journaling, Blogging', 'Accepted', 'irenaMcknightprofilePic', 28, '1980-8-7'),
('twilaTrujillo@gmail.com', 'Twila Trujillo', 'twilaTrujillo', 'Other', 'W', 'This is the bio', 'This is the description', 'Listening to music, Dancing, Fishing, Photography, Knitting', 'Reported', 'twilaTrujilloprofilePic', 26, '1977-5-18'),
('omarAllen@gmail.com', 'Omar Allen', 'omarAllen', 'M', 'M', 'This is the bio', 'This is the description', 'Cycling, Listening to podcasts, Hiking, Watching series, Listening to music', 'Reported', 'omarAllenprofilePic', 18, '1967-3-11'),
('lilaHouse@gmail.com', 'Lila House', 'lilaHouse', 'F', 'M', 'This is the bio', 'This is the description', 'Fishing, Journaling, Listening to music, Listening to podcasts, Watching movies', 'Pending', 'lilaHouseprofilePic', 18, '1964-1-26'),
('elmiraCrane@gmail.com', 'Elmira Crane', 'elmiraCrane', 'F', 'M', 'This is the bio', 'This is the description', 'Running, Hiking, Blogging, Reading, Photography', 'Accepted', 'elmiraCraneprofilePic', 31, '2003-8-9'),
('effieBooth@gmail.com', 'Effie Booth', 'effieBooth', 'Other', 'W', 'This is the bio', 'This is the description', 'Running, Watching series, Reading, Dancing, Blogging', 'Accepted', 'effieBoothprofilePic', 25, '1987-6-7'),
('damionFields@gmail.com', 'Damion Fields', 'damionFields', 'M', 'W', 'This is the bio', 'This is the description', 'Cycling, Blogging, Paintball, Car fixing, Journaling', 'Reported', 'damionFieldsprofilePic', 19, '1986-10-1'),
('mervinHall@gmail.com', 'Mervin Hall', 'mervinHall', 'Other', 'M', 'This is the bio', 'This is the description', 'Yoga, Running, Watching series, Watching movies, Fishing', 'Pending', 'mervinHallprofilePic', 21, '1976-9-7'),
('starrRodriguez@gmail.com', 'Starr Rodriguez', 'starrRodriguez', 'F', 'W', 'This is the bio', 'This is the description', 'Parkour, Chess, Acrobatics, Paintball, Running', 'Pending', 'starrRodriguezprofilePic', 27, '1968-1-4'),
('jakeBradshaw@gmail.com', 'Jake Bradshaw', 'jakeBradshaw', 'Other', 'M', 'This is the bio', 'This is the description', 'Chess, Parkour, Watching series, Listening to podcasts, Hiking', 'Pending', 'jakeBradshawprofilePic', 29, '1962-10-23'),
('chandaCharles@gmail.com', 'Chanda Charles', 'chandaCharles', 'Other', 'M', 'This is the bio', 'This is the description', 'Yoga, Listening to podcasts, Watching movies, Paintball, Watching series', 'Reported', 'chandaCharlesprofilePic', 36, '1988-11-5'),
('harrisonHess@gmail.com', 'Harrison Hess', 'harrisonHess', 'M', 'W', 'This is the bio', 'This is the description', 'Reading, Parkour, Hiking, Running, Journaling', 'Accepted', 'harrisonHessprofilePic', 28, '1994-5-1'),
('darylWilcox@gmail.com', 'Daryl Wilcox', 'darylWilcox', 'F', 'M', 'This is the bio', 'This is the description', 'Paintball, Cycling, Hiking, Journaling, Car fixing', 'Pending', 'darylWilcoxprofilePic', 31, '1983-4-27'),
('yeseniaHouse@gmail.com', 'Yesenia House', 'yeseniaHouse', 'F', 'M', 'This is the bio', 'This is the description', 'Watching movies, Listening to podcasts, Fishing, Dancing, Knitting', 'Reported', 'yeseniaHouseprofilePic', 18, '1972-3-28'),
('kieshaCarver@gmail.com', 'Kiesha Carver', 'kieshaCarver', 'F', 'W', 'This is the bio', 'This is the description', 'Cycling, Watching movies, Parkour, Dancing, Fishing', 'Reported', 'kieshaCarverprofilePic', 35, '1997-7-8'),
('emilioSavage@gmail.com', 'Emilio Savage', 'emilioSavage', 'M', 'W', 'This is the bio', 'This is the description', 'Dancing, Cycling, Hiking, Photography, Watching movies', 'Pending', 'emilioSavageprofilePic', 37, '1963-7-5'),
('lawrenceAguilar@gmail.com', 'Lawrence Aguilar', 'lawrenceAguilar', 'M', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Listening to music, Photography, Chess, Watching movies', 'Reported', 'lawrenceAguilarprofilePic', 20, '1975-12-7'),
('reedVasquez@gmail.com', 'Reed Vasquez', 'reedVasquez', 'Other', 'W', 'This is the bio', 'This is the description', 'Listening to music, Cycling, Blogging, Watching series, Running', 'Pending', 'reedVasquezprofilePic', 33, '1984-6-15'),
('milesTalley@gmail.com', 'Miles Talley', 'milesTalley', 'M', 'M', 'This is the bio', 'This is the description', 'Yoga, Car fixing, Dancing, Watching series, Acrobatics', 'Reported', 'milesTalleyprofilePic', 38, '1976-10-26'),
('nolanGarrison@gmail.com', 'Nolan Garrison', 'nolanGarrison', 'Other', 'W', 'This is the bio', 'This is the description', 'Yoga, Listening to music, Bowling, Cycling, Reading', 'Accepted', 'nolanGarrisonprofilePic', 18, '1964-2-16'),
('brandeeBeck@gmail.com', 'Brandee Beck', 'brandeeBeck', 'F', 'B', 'This is the bio', 'This is the description', 'Baseball, Running, Acrobatics, Watching movies, Listening to podcasts', 'Reported', 'brandeeBeckprofilePic', 32, '1993-2-7'),
('jamilaMolina@gmail.com', 'Jamila Molina', 'jamilaMolina', 'Other', 'W', 'This is the bio', 'This is the description', 'Watching series, Baseball, Bowling, Cycling, Photography', 'Accepted', 'jamilaMolinaprofilePic', 22, '1951-9-16'),
('candisCoffey@gmail.com', 'Candis Coffey', 'candisCoffey', 'Other', 'W', 'This is the bio', 'This is the description', 'Blogging, Dancing, Bowling, Knitting, Fishing', 'Pending', 'candisCoffeyprofilePic', 28, '2003-11-6'),
('arlettaMoon@gmail.com', 'Arletta Moon', 'arlettaMoon', 'F', 'B', 'This is the bio', 'This is the description', 'Reading, Watching series, Parkour, Acrobatics, Paintball', 'Pending', 'arlettaMoonprofilePic', 20, '1966-4-19'),
('peteHolden@gmail.com', 'Pete Holden', 'peteHolden', 'M', 'M', 'This is the bio', 'This is the description', 'Blogging, Cycling, Fishing, Watching movies, Bowling', 'Reported', 'peteHoldenprofilePic', 39, '1983-12-18'),
('jaimeBeasley@gmail.com', 'Jaime Beasley', 'jaimeBeasley', 'M', 'M', 'This is the bio', 'This is the description', 'Cycling, Photography, Listening to podcasts, Bowling, Running', 'Accepted', 'jaimeBeasleyprofilePic', 34, '1992-11-6'),
('gloriaSweeney@gmail.com', 'Gloria Sweeney', 'gloriaSweeney', 'F', 'W', 'This is the bio', 'This is the description', 'Fishing, Cycling, Knitting, Photography, Parkour', 'Reported', 'gloriaSweeneyprofilePic', 19, '1980-10-4'),
('michelBrandt@gmail.com', 'Michel Brandt', 'michelBrandt', 'F', 'B', 'This is the bio', 'This is the description', 'Acrobatics, Photography, Chess, Fishing, Dancing', 'Pending', 'michelBrandtprofilePic', 18, '1958-10-23'),
('joannSweet@gmail.com', 'Joann Sweet', 'joannSweet', 'F', 'M', 'This is the bio', 'This is the description', 'Watching movies, Listening to music, Chess, Parkour, Yoga', 'Reported', 'joannSweetprofilePic', 32, '1972-8-2'),
('johnnySawyer@gmail.com', 'Johnny Sawyer', 'johnnySawyer', 'M', 'W', 'This is the bio', 'This is the description', 'Dancing, Yoga, Fishing, Baseball, Bowling', 'Accepted', 'johnnySawyerprofilePic', 20, '1987-2-9'),
('jacquelinBranch@gmail.com', 'Jacquelin Branch', 'jacquelinBranch', 'F', 'B', 'This is the bio', 'This is the description', 'Photography, Reading, Yoga, Journaling, Parkour', 'Pending', 'jacquelinBranchprofilePic', 23, '1966-1-11'),
('tamathaBullock@gmail.com', 'Tamatha Bullock', 'tamathaBullock', 'F', 'B', 'This is the bio', 'This is the description', 'Hiking, Watching movies, Acrobatics, Yoga, Baseball', 'Accepted', 'tamathaBullockprofilePic', 31, '1992-5-12'),
('cherryMerritt@gmail.com', 'Cherry Merritt', 'cherryMerritt', 'Other', 'B', 'This is the bio', 'This is the description', 'Baseball, Chess, Dancing, Blogging, Watching movies', 'Reported', 'cherryMerrittprofilePic', 19, '1987-6-26'),
('patriciaUnderwood@gmail.com', 'Patricia Underwood', 'patriciaUnderwood', 'Other', 'W', 'This is the bio', 'This is the description', 'Yoga, Paintball, Photography, Journaling, Watching series', 'Pending', 'patriciaUnderwoodprofilePic', 18, '1985-2-26'),
('phoebeTyler@gmail.com', 'Phoebe Tyler', 'phoebeTyler', 'F', 'M', 'This is the bio', 'This is the description', 'Hiking, Listening to podcasts, Watching movies, Bowling, Photography', 'Reported', 'phoebeTylerprofilePic', 25, '1975-11-4'),
('shawndaHewitt@gmail.com', 'Shawnda Hewitt', 'shawndaHewitt', 'F', 'W', 'This is the bio', 'This is the description', 'Fishing, Journaling, Bowling, Running, Listening to music', 'Pending', 'shawndaHewittprofilePic', 24, '1989-10-14'),
('annabelleSpence@gmail.com', 'Annabelle Spence', 'annabelleSpence', 'F', 'W', 'This is the bio', 'This is the description', 'Acrobatics, Watching movies, Photography, Dancing, Yoga', 'Accepted', 'annabelleSpenceprofilePic', 23, '1976-1-17'),
('kenyaPhillips@gmail.com', 'Kenya Phillips', 'kenyaPhillips', 'F', 'W', 'This is the bio', 'This is the description', 'Cycling, Bowling, Dancing, Yoga, Watching series', 'Pending', 'kenyaPhillipsprofilePic', 27, '1999-1-8'),
('patsyStark@gmail.com', 'Patsy Stark', 'patsyStark', 'Other', 'M', 'This is the bio', 'This is the description', 'Watching series, Fishing, Yoga, Baseball, Cycling', 'Reported', 'patsyStarkprofilePic', 31, '1959-11-12'),
('kirbyKing@gmail.com', 'Kirby King', 'kirbyKing', 'Other', 'M', 'This is the bio', 'This is the description', 'Chess, Listening to podcasts, Paintball, Cycling, Baseball', 'Pending', 'kirbyKingprofilePic', 26, '1956-4-23'),
('harleyBurton@gmail.com', 'Harley Burton', 'harleyBurton', 'Other', 'M', 'This is the bio', 'This is the description', 'Cycling, Fishing, Blogging, Acrobatics, Baseball', 'Reported', 'harleyBurtonprofilePic', 29, '1957-8-2'),
('brooksTravis@gmail.com', 'Brooks Travis', 'brooksTravis', 'M', 'M', 'This is the bio', 'This is the description', 'Paintball, Chess, Watching series, Baseball, Car fixing', 'Accepted', 'brooksTravisprofilePic', 27, '1973-2-8'),
('kaylaBest@gmail.com', 'Kayla Best', 'kaylaBest', 'Other', 'M', 'This is the bio', 'This is the description', 'Listening to podcasts, Listening to music, Parkour, Knitting, Dancing', 'Reported', 'kaylaBestprofilePic', 31, '1969-7-3'),
('jasonCraig@gmail.com', 'Jason Craig', 'jasonCraig', 'M', 'M', 'This is the bio', 'This is the description', 'Listening to podcasts, Reading, Cycling, Watching movies, Blogging', 'Pending', 'jasonCraigprofilePic', 37, '1950-2-12'),
('florindaJoseph@gmail.com', 'Florinda Joseph', 'florindaJoseph', 'F', 'B', 'This is the bio', 'This is the description', 'Cycling, Car fixing, Photography, Fishing, Dancing', 'Accepted', 'florindaJosephprofilePic', 23, '2001-6-12'),
('martinDavenport@gmail.com', 'Martin Davenport', 'martinDavenport', 'M', 'M', 'This is the bio', 'This is the description', 'Baseball, Chess, Journaling, Watching movies, Car fixing', 'Reported', 'martinDavenportprofilePic', 33, '2001-3-22'),
('sariHenderson@gmail.com', 'Sari Henderson', 'sariHenderson', 'F', 'W', 'This is the bio', 'This is the description', 'Yoga, Paintball, Listening to podcasts, Listening to music, Watching series', 'Pending', 'sariHendersonprofilePic', 23, '1954-5-2'),
('rafaelaMarsh@gmail.com', 'Rafaela Marsh', 'rafaelaMarsh', 'Other', 'B', 'This is the bio', 'This is the description', 'Hiking, Car fixing, Knitting, Listening to podcasts, Cycling', 'Reported', 'rafaelaMarshprofilePic', 21, '1991-2-21'),
('frederickFlynn@gmail.com', 'Frederick Flynn', 'frederickFlynn', 'M', 'W', 'This is the bio', 'This is the description', 'Paintball, Baseball, Cycling, Listening to music, Watching series', 'Accepted', 'frederickFlynnprofilePic', 37, '2000-1-22'),
('robertoValenzuela@gmail.com', 'Roberto Valenzuela', 'robertoValenzuela', 'Other', 'W', 'This is the bio', 'This is the description', 'Journaling, Car fixing, Watching series, Baseball, Reading', 'Reported', 'robertoValenzuelaprofilePic', 19, '1986-4-12'),
('lacyGoss@gmail.com', 'Lacy Goss', 'lacyGoss', 'M', 'W', 'This is the bio', 'This is the description', 'Listening to music, Yoga, Journaling, Acrobatics, Hiking', 'Reported', 'lacyGossprofilePic', 36, '1952-8-15'),
('leannCarson@gmail.com', 'Leann Carson', 'leannCarson', 'F', 'B', 'This is the bio', 'This is the description', 'Listening to music, Bowling, Photography, Dancing, Reading', 'Pending', 'leannCarsonprofilePic', 22, '1999-1-22'),
('justinJoyner@gmail.com', 'Justin Joyner', 'justinJoyner', 'M', 'M', 'This is the bio', 'This is the description', 'Watching movies, Hiking, Parkour, Acrobatics, Fishing', 'Accepted', 'justinJoynerprofilePic', 30, '1959-9-17'),
('mikeHeath@gmail.com', 'Mike Heath', 'mikeHeath', 'M', 'M', 'This is the bio', 'This is the description', 'Listening to podcasts, Hiking, Running, Photography, Fishing', 'Accepted', 'mikeHeathprofilePic', 22, '1955-6-20'),
('forestBanks@gmail.com', 'Forest Banks', 'forestBanks', 'Other', 'M', 'This is the bio', 'This is the description', 'Paintball, Car fixing, Baseball, Reading, Acrobatics', 'Pending', 'forestBanksprofilePic', 38, '1979-7-28'),
('kellyFrederick@gmail.com', 'Kelly Frederick', 'kellyFrederick', 'Other', 'W', 'This is the bio', 'This is the description', 'Reading, Acrobatics, Watching series, Knitting, Fishing', 'Pending', 'kellyFrederickprofilePic', 33, '1956-2-28'),
('lyndonArmstrong@gmail.com', 'Lyndon Armstrong', 'lyndonArmstrong', 'M', 'W', 'This is the bio', 'This is the description', 'Listening to podcasts, Fishing, Listening to music, Parkour, Chess', 'Reported', 'lyndonArmstrongprofilePic', 19, '1984-5-10'),
('laniWinters@gmail.com', 'Lani Winters', 'laniWinters', 'Other', 'B', 'This is the bio', 'This is the description', 'Knitting, Paintball, Car fixing, Acrobatics, Chess', 'Accepted', 'laniWintersprofilePic', 31, '1980-12-7'),
('iraHarris@gmail.com', 'Ira Harris', 'iraHarris', 'Other', 'B', 'This is the bio', 'This is the description', 'Yoga, Dancing, Fishing, Listening to podcasts, Running', 'Reported', 'iraHarrisprofilePic', 28, '1982-12-3'),
('edmundDyer@gmail.com', 'Edmund Dyer', 'edmundDyer', 'M', 'M', 'This is the bio', 'This is the description', 'Listening to podcasts, Cycling, Listening to music, Baseball, Watching movies', 'Accepted', 'edmundDyerprofilePic', 35, '1996-4-23'),
('fatimaHanna@gmail.com', 'Fatima Hanna', 'fatimaHanna', 'F', 'M', 'This is the bio', 'This is the description', 'Running, Yoga, Baseball, Reading, Paintball', 'Reported', 'fatimaHannaprofilePic', 27, '1950-2-20'),
('salCastaneda@gmail.com', 'Sal Castaneda', 'salCastaneda', 'M', 'M', 'This is the bio', 'This is the description', 'Reading, Listening to music, Watching movies, Hiking, Running', 'Pending', 'salCastanedaprofilePic', 36, '1984-3-11'),
('milanBartlett@gmail.com', 'Milan Bartlett', 'milanBartlett', 'M', 'M', 'This is the bio', 'This is the description', 'Reading, Running, Baseball, Knitting, Photography', 'Accepted', 'milanBartlettprofilePic', 28, '1999-2-7'),
('sharleenCarpenter@gmail.com', 'Sharleen Carpenter', 'sharleenCarpenter', 'F', 'B', 'This is the bio', 'This is the description', 'Baseball, Dancing, Car fixing, Watching movies, Journaling', 'Reported', 'sharleenCarpenterprofilePic', 30, '1998-9-14'),
('darioMichael@gmail.com', 'Dario Michael', 'darioMichael', 'M', 'M', 'This is the bio', 'This is the description', 'Paintball, Baseball, Watching movies, Hiking, Parkour', 'Accepted', 'darioMichaelprofilePic', 40, '1954-12-15'),
('marvaLong@gmail.com', 'Marva Long', 'marvaLong', 'F', 'W', 'This is the bio', 'This is the description', 'Listening to music, Paintball, Cycling, Knitting, Watching series', 'Accepted', 'marvaLongprofilePic', 36, '1951-9-12'),
('salenaCopeland@gmail.com', 'Salena Copeland', 'salenaCopeland', 'F', 'W', 'This is the bio', 'This is the description', 'Dancing, Photography, Listening to music, Blogging, Acrobatics', 'Accepted', 'salenaCopelandprofilePic', 27, '1990-10-17'),
('theronMayfield@gmail.com', 'Theron Mayfield', 'theronMayfield', 'M', 'B', 'This is the bio', 'This is the description', 'Car fixing, Baseball, Photography, Dancing, Paintball', 'Accepted', 'theronMayfieldprofilePic', 19, '1981-8-6'),
('alexiaLane@gmail.com', 'Alexia Lane', 'alexiaLane', 'Other', 'M', 'This is the bio', 'This is the description', 'Parkour, Chess, Car fixing, Bowling, Hiking', 'Reported', 'alexiaLaneprofilePic', 32, '2000-9-8'),
('chaunceyRoth@gmail.com', 'Chauncey Roth', 'chaunceyRoth', 'M', 'B', 'This is the bio', 'This is the description', 'Hiking, Baseball, Running, Dancing, Knitting', 'Accepted', 'chaunceyRothprofilePic', 33, '1991-1-15'),
('donaLowe@gmail.com', 'Dona Lowe', 'donaLowe', 'F', 'W', 'This is the bio', 'This is the description', 'Fishing, Bowling, Paintball, Chess, Journaling', 'Accepted', 'donaLoweprofilePic', 19, '1959-3-26'),
('carmanMiranda@gmail.com', 'Carman Miranda', 'carmanMiranda', 'F', 'W', 'This is the bio', 'This is the description', 'Listening to podcasts, Bowling, Parkour, Photography, Hiking', 'Reported', 'carmanMirandaprofilePic', 20, '1950-11-27'),
('kendraMelendez@gmail.com', 'Kendra Melendez', 'kendraMelendez', 'F', 'W', 'This is the bio', 'This is the description', 'Listening to podcasts, Fishing, Hiking, Parkour, Knitting', 'Pending', 'kendraMelendezprofilePic', 39, '1976-7-21'),
('laverneLeonard@gmail.com', 'Laverne Leonard', 'laverneLeonard', 'F', 'W', 'This is the bio', 'This is the description', 'Bowling, Chess, Journaling, Running, Baseball', 'Accepted', 'laverneLeonardprofilePic', 37, '1980-8-11'),
('anthonyHolcomb@gmail.com', 'Anthony Holcomb', 'anthonyHolcomb', 'M', 'B', 'This is the bio', 'This is the description', 'Baseball, Paintball, Blogging, Parkour, Running', 'Reported', 'anthonyHolcombprofilePic', 26, '1984-8-28'),
('franklynHoward@gmail.com', 'Franklyn Howard', 'franklynHoward', 'M', 'W', 'This is the bio', 'This is the description', 'Watching series, Photography, Watching movies, Cycling, Hiking', 'Accepted', 'franklynHowardprofilePic', 27, '1961-8-26'),
('kathleneRivas@gmail.com', 'Kathlene Rivas', 'kathleneRivas', 'F', 'W', 'This is the bio', 'This is the description', 'Journaling, Cycling, Hiking, Reading, Paintball', 'Pending', 'kathleneRivasprofilePic', 20, '1972-1-25'),
('kurtHobbs@gmail.com', 'Kurt Hobbs', 'kurtHobbs', 'M', 'W', 'This is the bio', 'This is the description', 'Parkour, Hiking, Reading, Listening to podcasts, Bowling', 'Accepted', 'kurtHobbsprofilePic', 39, '1974-1-27'),
('anissaBolton@gmail.com', 'Anissa Bolton', 'anissaBolton', 'F', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Listening to music, Yoga, Running, Watching series', 'Pending', 'anissaBoltonprofilePic', 35, '1951-9-8'),
('beatriceHerman@gmail.com', 'Beatrice Herman', 'beatriceHerman', 'F', 'W', 'This is the bio', 'This is the description', 'Watching series, Cycling, Reading, Listening to music, Hiking', 'Pending', 'beatriceHermanprofilePic', 35, '2000-3-5'),
('delisaMckinney@gmail.com', 'Delisa Mckinney', 'delisaMckinney', 'F', 'B', 'This is the bio', 'This is the description', 'Listening to music, Dancing, Watching movies, Baseball, Photography', 'Pending', 'delisaMckinneyprofilePic', 40, '1959-12-18'),
('tomasDillon@gmail.com', 'Tomas Dillon', 'tomasDillon', 'M', 'W', 'This is the bio', 'This is the description', 'Fishing, Hiking, Baseball, Listening to music, Running', 'Reported', 'tomasDillonprofilePic', 32, '1996-9-16'),
('lizChristensen@gmail.com', 'Liz Christensen', 'lizChristensen', 'Other', 'W', 'This is the bio', 'This is the description', 'Paintball, Car fixing, Running, Journaling, Yoga', 'Reported', 'lizChristensenprofilePic', 29, '1960-8-19'),
('robertMitchell@gmail.com', 'Robert Mitchell', 'robertMitchell', 'Other', 'B', 'This is the bio', 'This is the description', 'Fishing, Listening to music, Blogging, Baseball, Hiking', 'Reported', 'robertMitchellprofilePic', 38, '1952-1-1'),
('ronnieBoyle@gmail.com', 'Ronnie Boyle', 'ronnieBoyle', 'F', 'W', 'This is the bio', 'This is the description', 'Cycling, Reading, Photography, Parkour, Acrobatics', 'Accepted', 'ronnieBoyleprofilePic', 38, '1985-10-16'),
('weldonBowman@gmail.com', 'Weldon Bowman', 'weldonBowman', 'M', 'M', 'This is the bio', 'This is the description', 'Watching movies, Listening to music, Knitting, Baseball, Parkour', 'Accepted', 'weldonBowmanprofilePic', 21, '1970-1-4'),
('fallonShaffer@gmail.com', 'Fallon Shaffer', 'fallonShaffer', 'F', 'M', 'This is the bio', 'This is the description', 'Cycling, Blogging, Car fixing, Reading, Photography', 'Pending', 'fallonShafferprofilePic', 29, '2004-9-1'),
('erichDowns@gmail.com', 'Erich Downs', 'erichDowns', 'M', 'M', 'This is the bio', 'This is the description', 'Listening to music, Bowling, Acrobatics, Blogging, Chess', 'Accepted', 'erichDownsprofilePic', 37, '1951-7-14'),
('mohammedKemp@gmail.com', 'Mohammed Kemp', 'mohammedKemp', 'Other', 'B', 'This is the bio', 'This is the description', 'Running, Journaling, Photography, Listening to music, Parkour', 'Pending', 'mohammedKempprofilePic', 26, '1997-5-18'),
('domenicOrtega@gmail.com', 'Domenic Ortega', 'domenicOrtega', 'M', 'W', 'This is the bio', 'This is the description', 'Listening to podcasts, Watching series, Watching movies, Acrobatics, Running', 'Reported', 'domenicOrtegaprofilePic', 34, '1980-11-1'),
('wanitaBrandt@gmail.com', 'Wanita Brandt', 'wanitaBrandt', 'F', 'W', 'This is the bio', 'This is the description', 'Hiking, Photography, Reading, Chess, Listening to podcasts', 'Reported', 'wanitaBrandtprofilePic', 35, '1977-2-23'),
('candanceTyler@gmail.com', 'Candance Tyler', 'candanceTyler', 'Other', 'W', 'This is the bio', 'This is the description', 'Blogging, Watching series, Listening to podcasts, Journaling, Paintball', 'Pending', 'candanceTylerprofilePic', 24, '1980-9-14'),
('maximoEstrada@gmail.com', 'Maximo Estrada', 'maximoEstrada', 'Other', 'W', 'This is the bio', 'This is the description', 'Paintball, Watching series, Dancing, Photography, Cycling', 'Reported', 'maximoEstradaprofilePic', 25, '1995-9-17'),
('pattyGamble@gmail.com', 'Patty Gamble', 'pattyGamble', 'Other', 'W', 'This is the bio', 'This is the description', 'Paintball, Fishing, Hiking, Journaling, Car fixing', 'Accepted', 'pattyGambleprofilePic', 22, '1969-4-15'),
('renatoBarlow@gmail.com', 'Renato Barlow', 'renatoBarlow', 'Other', 'W', 'This is the bio', 'This is the description', 'Cycling, Chess, Car fixing, Reading, Listening to music', 'Reported', 'renatoBarlowprofilePic', 19, '1989-2-15'),
('dorrisMurray@gmail.com', 'Dorris Murray', 'dorrisMurray', 'F', 'W', 'This is the bio', 'This is the description', 'Car fixing, Fishing, Baseball, Chess, Running', 'Pending', 'dorrisMurrayprofilePic', 33, '1985-11-4'),
('daniBush@gmail.com', 'Dani Bush', 'daniBush', 'F', 'M', 'This is the bio', 'This is the description', 'Photography, Chess, Baseball, Blogging, Fishing', 'Reported', 'daniBushprofilePic', 34, '1986-3-8'),
('cedrickKeller@gmail.com', 'Cedrick Keller', 'cedrickKeller', 'M', 'B', 'This is the bio', 'This is the description', 'Acrobatics, Knitting, Reading, Watching movies, Car fixing', 'Reported', 'cedrickKellerprofilePic', 39, '1977-4-3'),
('eduardoGaines@gmail.com', 'Eduardo Gaines', 'eduardoGaines', 'M', 'W', 'This is the bio', 'This is the description', 'Yoga, Listening to podcasts, Acrobatics, Hiking, Watching movies', 'Reported', 'eduardoGainesprofilePic', 34, '1979-7-6'),
('chinCombs@gmail.com', 'Chin Combs', 'chinCombs', 'F', 'B', 'This is the bio', 'This is the description', 'Running, Knitting, Photography, Acrobatics, Dancing', 'Reported', 'chinCombsprofilePic', 35, '1972-5-23'),
('dylanSchmidt@gmail.com', 'Dylan Schmidt', 'dylanSchmidt', 'M', 'W', 'This is the bio', 'This is the description', 'Knitting, Yoga, Blogging, Chess, Listening to music', 'Accepted', 'dylanSchmidtprofilePic', 25, '1969-7-11'),
('jessChaney@gmail.com', 'Jess Chaney', 'jessChaney', 'M', 'B', 'This is the bio', 'This is the description', 'Blogging, Bowling, Chess, Running, Yoga', 'Reported', 'jessChaneyprofilePic', 40, '1965-9-25'),
('mableCummings@gmail.com', 'Mable Cummings', 'mableCummings', 'F', 'M', 'This is the bio', 'This is the description', 'Cycling, Bowling, Dancing, Watching series, Paintball', 'Accepted', 'mableCummingsprofilePic', 37, '1971-12-14'),
('thaddeusRamsey@gmail.com', 'Thaddeus Ramsey', 'thaddeusRamsey', 'M', 'B', 'This is the bio', 'This is the description', 'Bowling, Watching series, Journaling, Dancing, Baseball', 'Reported', 'thaddeusRamseyprofilePic', 30, '1979-2-2'),
('tyreeLane@gmail.com', 'Tyree Lane', 'tyreeLane', 'M', 'M', 'This is the bio', 'This is the description', 'Running, Listening to music, Acrobatics, Car fixing, Chess', 'Accepted', 'tyreeLaneprofilePic', 33, '1964-6-20'),
